K-Ru_MgO,,Li2NH,,LiNH2-MgO,,Ru_CNTs,,Ru_MgO,
X,Y,X,Y,X,Y,X,Y,X,Y
500.3370786516854,6.422018348623851,687.3033707865168,0.6116207951070436,473.37078651685385,2.4464831804281317,554.2696629213483,6.422018348623851,501.23595505617976,0.6116207951070436
528.2022471910112,9.480122324159026,715.1685393258426,0.3058103975535289,500.3370786516854,6.422018348623851,580.3370786516854,17.431192660550465,527.3033707865168,0.3058103975535289
554.2696629213483,15.596330275229363,740.3370786516854,0.9174311926605441,527.3033707865168,14.678899082568819,607.3033707865168,32.7217125382263,554.2696629213483,1.5290519877675877
581.2359550561797,23.5474006116208,767.3033707865168,1.8348623853211166,554.2696629213483,28.13455657492355,635.1685393258426,57.186544342507645,581.2359550561797,3.363914373088676
608.2022471910112,37.00305810397555,795.1685393258426,2.4464831804281317,580.3370786516854,47.706422018348626,661.2359550561798,84.40366972477065,608.2022471910112,9.174311926605526
633.370786516854,54.128440366972484,821.2359550561798,5.504587155963307,608.2022471910112,71.55963302752293,688.2022471910112,98.1651376146789,634.2696629213483,22.935779816513772
661.2359550561798,76.45259938837921,,,634.2696629213483,93.27217125382263,,,662.1348314606741,47.40061162079511
689.1011235955056,95.71865443425077,,,662.1348314606741,100.30581039755351,,,688.2022471910112,74.00611620795107
,,,,,,,,715.1685393258426,97.85932721712538
,,,,,,,,742.1348314606741,99.38837920489297
