Mechanical Strength (MPa),Compression Strength (MPa)
1,-0.9309515958802708,Poly(butylene terephthalate)
3,-0.9937816550166281,Poly(butylene terephthalate)
7,-0.06297921856888333,Poly(butylene terephthalate)
11,0.6672373832400442,Poly(butylene terephthalate)
12,-4.069364964402369,Poly(butylene terephthalate)
14,0.6521090658443027,Poly(butylene terephthalate)
1,4.404019586419854,PnBA
3,3.9774260193817015,PnBA
7,3.656960680446283,PnBA
11,3.5695097968580787,PnBA
12,3.5632048516412955,PnBA
14,3.5520411535989393,PnBA
1,5.8711326604313685,Poly(hexafluoro propylene)
3,5.498851559466811,Poly(hexafluoro propylene)
7,5.20609546233388,Poly(hexafluoro propylene)
11,5.067228844342878,Poly(hexafluoro propylene)
12,5.008433761868493,Poly(hexafluoro propylene)
14,4.970409774460481,Poly(hexafluoro propylene)
1,-7.326047461518515,DGEBD Epoxy Resin
3,-7.456907837605114,DGEBD Epoxy Resin
7,-7.758253017065282,DGEBD Epoxy Resin
11,-7.8514977161677635,DGEBD Epoxy Resin
12,-7.857278959234905,DGEBD Epoxy Resin
14,-7.873995287147115,DGEBD Epoxy Resin
1,4.243011557725123,Unsaturated polyester resin
3,4.1072872379194525,Unsaturated polyester resin
7,3.7800763254789813,Unsaturated polyester resin
11,3.637697776727997,Unsaturated polyester resin
12,3.6280535485261556,Unsaturated polyester resin
14,3.552517786604062,Unsaturated polyester resin
