Rotational Speed (rpm),Corrosion Rate (mm/year)
0,3.677895218628393,Paraffinum liquidum/PET
3,3.6206109541850418,Paraffinum liquidum/PET
10,3.3297545481282933,Paraffinum liquidum/PET
14,3.2068785921245704,Paraffinum liquidum/PET
19,3.099104417526332,Paraffinum liquidum/PET
3,9.487286190570261,Montmorillonite/PET
5,9.472652997372817,Montmorillonite/PET
9,27.45936540502857,Montmorillonite/PET
13,87.67373998109322,Montmorillonite/PET
14,43.709756615523,Montmorillonite/PET
3.3671575299593126,-4.276798509569835,Poly(acrylonitrile)/PET
8.408171207048639,-4.455467937621954,Poly(acrylonitrile)/PET
8.88991947136778,-4.918581844175017,Poly(acrylonitrile)/PET
13.494862156365565,-2.874391383252603,Poly(acrylonitrile)/PET
16.351863872898036,-5.655330643970614,Poly(acrylonitrile)/PET
