Solvent Concentration (M),Peel Strength (N/m)
1,-6.368291978521812,1.0% PbS/Polyphenylsulfone
2,-6.294443421991891,1.0% PbS/Polyphenylsulfone
3,-6.40358061182849,1.0% PbS/Polyphenylsulfone
13,-6.66972168351541,1.0% PbS/Polyphenylsulfone
15,-6.698187568798415,1.0% PbS/Polyphenylsulfone
1,8.2332130053808,0.05% PbS/Polyphenylsulfone
2,7.951250914922572,0.05% PbS/Polyphenylsulfone
3,7.825655552963553,0.05% PbS/Polyphenylsulfone
13,7.450526918620021,0.05% PbS/Polyphenylsulfone
15,7.4414910790784,0.05% PbS/Polyphenylsulfone
1,-5.945221605101993,0.97% PbS/Polyphenylsulfone
2,-5.5826434886250045,0.97% PbS/Polyphenylsulfone
3,-6.113821599601534,0.97% PbS/Polyphenylsulfone
13,-4.983204278060274,0.97% PbS/Polyphenylsulfone
15,0.4674096426651424,0.97% PbS/Polyphenylsulfone
