Pore Size (nm),Elastic Modulus (GPa)
0,7.22918707671474,0.28% talc/Nylon 8
2,7.131908227336831,0.28% talc/Nylon 8
12,6.6642997903560115,0.28% talc/Nylon 8
15,6.6021733548383965,0.28% talc/Nylon 8
0,3.9089210856714125,0.25% talc/Nylon 8
2,4.531572155387678,0.25% talc/Nylon 8
12,34.38046379315303,0.25% talc/Nylon 8
15,113.82797665483936,0.25% talc/Nylon 8
0,3.6971279799775276,0.11% talc/Nylon 8
2,3.5234769679409905,0.11% talc/Nylon 8
12,3.0526714648603095,0.11% talc/Nylon 8
15,3.0382648749982994,0.11% talc/Nylon 8
0,1.723669434244542,0.4% talc/Nylon 8
2,1.7412293895936481,0.4% talc/Nylon 8
12,1.0998787345209373,0.4% talc/Nylon 8
15,0.9966537269197999,0.4% talc/Nylon 8
0,4.933263371940498,0.03% talc/Nylon 8
2,4.402732529814409,0.03% talc/Nylon 8
12,3.9312379063465004,0.03% talc/Nylon 8
15,3.914313255701444,0.03% talc/Nylon 8
