Softening Temperature (°C),Coercivity (A/m)
2,-1.8940021348201879,Poly(ethylene glycol)
10,-2.4151514395523623,Poly(ethylene glycol)
13,-2.4727416923033703,Poly(ethylene glycol)
16,-2.5525528230481696,Poly(ethylene glycol)
17,-2.5711880056406993,Poly(ethylene glycol)
2,-5.320413619209931,CNBR
10,-5.748846978649604,CNBR
13,-5.779948578148352,CNBR
16,-5.791259388574919,CNBR
17,-5.793299684434588,CNBR
2,2.851747580272891,Poly(hexafluoro propylene)
10,38.48327684863387,Poly(hexafluoro propylene)
13,13.529490297510526,Poly(hexafluoro propylene)
16,76.57637157816609,Poly(hexafluoro propylene)
17,151.2701857441994,Poly(hexafluoro propylene)
2,0.3585084449622255,Nylon 6
10,-0.0578270913961989,Nylon 6
13,-0.08500817963504494,Nylon 6
16,-0.09813991354747699,Nylon 6
17,-0.1002744735547144,Nylon 6
2,-2.49512838672838,Nylon 11
10,-3.1858390869794535,Nylon 11
13,-3.3134598132250823,Nylon 11
16,-3.370841047561789,Nylon 11
17,-3.3748500390345217,Nylon 11
