Tensile Strength (MPa),Surface Area (m²/g)
5.146953562928848,5.5030623720890555,0.34% Alumina/PMS
6.296197301425506,6.640670625484178,0.34% Alumina/PMS
8.487646024593552,6.97675217986223,0.34% Alumina/PMS
5.146953562928848,7.342804964935551,0.31% Alumina/PMS
6.296197301425506,7.223176398578123,0.31% Alumina/PMS
8.487646024593552,7.123373490428787,0.31% Alumina/PMS
5.146953562928848,5.251949692548279,0.57% Alumina/PMS
6.296197301425506,4.880324859291401,0.57% Alumina/PMS
8.487646024593552,6.352671172000121,0.57% Alumina/PMS
5.146953562928848,8.122832934921098,0.55% Alumina/PMS
6.296197301425506,8.08711862403253,0.55% Alumina/PMS
8.487646024593552,8.005048644767356,0.55% Alumina/PMS
5.146953562928848,-0.7701992875676487,0.14% Alumina/PMS
6.296197301425506,1.8333838425472422,0.14% Alumina/PMS
8.487646024593552,5.289240285585656,0.14% Alumina/PMS
