wt% (%),Hysteresis Loss (J/m³)
1,-2.582048050636699,"Iron(II,III) oxide/PET"
2,-2.0174181479580042,"Iron(II,III) oxide/PET"
9,-0.6647823276201263,"Iron(II,III) oxide/PET"
12,-2.226882196897387,"Iron(II,III) oxide/PET"
1,7.7676659422695264,Ag/PET
2,7.703518474286708,Ag/PET
9,7.184721813596242,Ag/PET
12,7.1435686765801085,Ag/PET
1,7.476621417148046,expanded graphite/PET
2,7.611319841219458,expanded graphite/PET
9,7.043875980219432,expanded graphite/PET
12,6.99423709842985,expanded graphite/PET
1,8.261242350987434,Gold/PET
2,8.550291088308784,Gold/PET
9,10.64298363612839,Gold/PET
12,13.536916033378239,Gold/PET
1,-5.93581881337394,titania/PET
2,-6.040601462036364,titania/PET
9,-6.346643697472415,titania/PET
12,-6.451202904358735,titania/PET
