Light Intensity (W/m²),Corrosion Rate (mm/year)
3,3.0025733454142944,0.14% high abrasion furnace black
7,2.9832443880281247,0.14% high abrasion furnace black
12,3.1813249177394853,0.14% high abrasion furnace black
17,13.057718040460408,0.14% high abrasion furnace black
3,-6.61338762609277,0.57% high abrasion furnace black
7,-6.808593309780803,0.57% high abrasion furnace black
12,-6.902541653656904,0.57% high abrasion furnace black
17,-6.922309430120337,0.57% high abrasion furnace black
3,-2.7533388416991533,0.17% high abrasion furnace black
7,-2.937917196811558,0.17% high abrasion furnace black
12,0.1931849019709997,0.17% high abrasion furnace black
17,5.0482118145103065,0.17% high abrasion furnace black
