Crystallinity (%),Compressive Modulus (GPa)
2,4.503015680476491,0.19% SWNT
8,4.292575202012559,0.19% SWNT
12,61.74043458546572,0.19% SWNT
13,70.83132462166536,0.19% SWNT
16,274.0991908380391,0.19% SWNT
2,-0.43080924778465257,0.12% SWNT
8,0.7598610803035131,0.12% SWNT
12,2.947790681899896,0.12% SWNT
13,5.432925044384238,0.12% SWNT
16,3.7957699023447047,0.12% SWNT
2,-0.05684478842321661,0.9% SWNT
8,0.07309599214647755,0.9% SWNT
12,0.9498856791657335,0.9% SWNT
13,6.259764579265491,0.9% SWNT
16,-2.3696113857154826,0.9% SWNT
2,6.0620078764233085,0.01% SWNT
8,19.54581911821633,0.01% SWNT
12,30.773615758112612,0.01% SWNT
13,-26.720260305800522,0.01% SWNT
16,237.56282256739598,0.01% SWNT
