Time (s),Galvanic Potential (V)
0,0.03909888438191311,CaCu3Ti4O12/Poly(2-hydroxyethyl acrylate)
9,-0.9482173765836656,CaCu3Ti4O12/Poly(2-hydroxyethyl acrylate)
11,-0.9746000834605878,CaCu3Ti4O12/Poly(2-hydroxyethyl acrylate)
13,-0.988692037389162,CaCu3Ti4O12/Poly(2-hydroxyethyl acrylate)
18,-1.005140264212099,CaCu3Ti4O12/Poly(2-hydroxyethyl acrylate)
0,4.816169043546162,Thermal black/Poly(2-hydroxyethyl acrylate)
9,22.66280426803521,Thermal black/Poly(2-hydroxyethyl acrylate)
11,8.214898277860135,Thermal black/Poly(2-hydroxyethyl acrylate)
13,42.64077345740976,Thermal black/Poly(2-hydroxyethyl acrylate)
18,433.6645601442124,Thermal black/Poly(2-hydroxyethyl acrylate)
0,-1.2319606690177898,PAN/Poly(2-hydroxyethyl acrylate)
9,-1.899720311464046,PAN/Poly(2-hydroxyethyl acrylate)
11,-1.9456911562762906,PAN/Poly(2-hydroxyethyl acrylate)
13,-1.9633982838621729,PAN/Poly(2-hydroxyethyl acrylate)
18,-1.9780097540872745,PAN/Poly(2-hydroxyethyl acrylate)
0,4.909433723885387,FeO/Poly(2-hydroxyethyl acrylate)
9,4.366200311799023,FeO/Poly(2-hydroxyethyl acrylate)
11,4.279169155482261,FeO/Poly(2-hydroxyethyl acrylate)
13,4.207304396497837,FeO/Poly(2-hydroxyethyl acrylate)
18,4.096528022884823,FeO/Poly(2-hydroxyethyl acrylate)
0,4.993722496815582,White mineral oil/Poly(2-hydroxyethyl acrylate)
9,8.496479751978027,White mineral oil/Poly(2-hydroxyethyl acrylate)
11,6.546554380189054,White mineral oil/Poly(2-hydroxyethyl acrylate)
13,7.207423185213344,White mineral oil/Poly(2-hydroxyethyl acrylate)
18,13.299883336265031,White mineral oil/Poly(2-hydroxyethyl acrylate)
