Crystallinity (%),Fatigue Strength (MPa)
6,6.954072447974745,0.75% Ba0.7Sr0.3TiO3
18,10.769354253496523,0.75% Ba0.7Sr0.3TiO3
19,20.357745154699845,0.75% Ba0.7Sr0.3TiO3
6,-1.5738290129138701,0.14% Ba0.7Sr0.3TiO3
18,-1.7033622495282263,0.14% Ba0.7Sr0.3TiO3
19,-1.70477190250653,0.14% Ba0.7Sr0.3TiO3
6,3.9277076216788958,0.62% Ba0.7Sr0.3TiO3
18,21.61088855521845,0.62% Ba0.7Sr0.3TiO3
19,-0.07282152929785113,0.62% Ba0.7Sr0.3TiO3
6,2.057852684314062,0.5% Ba0.7Sr0.3TiO3
18,1.6512990383845079,0.5% Ba0.7Sr0.3TiO3
19,1.6277439131652616,0.5% Ba0.7Sr0.3TiO3
6,-6.653998999552385,0.43% Ba0.7Sr0.3TiO3
18,-6.80816039232888,0.43% Ba0.7Sr0.3TiO3
19,-6.809254168251358,0.43% Ba0.7Sr0.3TiO3
