Particle Size (nm),Thermal Resistance (K/W)
12,-0.460786624399912,Au/PUR
16,-0.5608689852798747,Au/PUR
17,-0.5618671740751425,Au/PUR
19,-0.5994952148795681,Au/PUR
12,-5.988498606772407,Ba0.7Sr0.3TiO3/PUR
16,5.091566473027591,Ba0.7Sr0.3TiO3/PUR
17,-3.830718187801248,Ba0.7Sr0.3TiO3/PUR
19,10.058785957730274,Ba0.7Sr0.3TiO3/PUR
12,9.257667730049034,"Iron(II,III) oxide/PUR"
16,-11.482384929927003,"Iron(II,III) oxide/PUR"
17,406.16039715139163,"Iron(II,III) oxide/PUR"
19,689.1892663956232,"Iron(II,III) oxide/PUR"
12,23.35746098387685,Synthetic fluorine mica/PUR
16,191.79827303427544,Synthetic fluorine mica/PUR
17,114.44861891167841,Synthetic fluorine mica/PUR
19,3.1673765577595887,Synthetic fluorine mica/PUR
