Evaporation Temperature (°C),Pore Volume (cm³/g)
0,-3.407967497100798,PAM
6,-3.8610270445639583,PAM
14,-4.151762377373247,PAM
17,-4.199042115968265,PAM
19,-4.226318128593342,PAM
0,3.908877236229915,Acrylonitrile butadiene styrene
6,3.2784021832424033,Acrylonitrile butadiene styrene
14,2.9433670274742094,Acrylonitrile butadiene styrene
17,2.8671264405849617,Acrylonitrile butadiene styrene
19,2.8446790430461903,Acrylonitrile butadiene styrene
0,-0.27694248300538327,P2VP
6,-1.093312067363519,P2VP
14,-1.3564301624682666,P2VP
17,-1.4270017875627168,P2VP
19,-1.448649567923293,P2VP
0,7.038876685392371,PMS
6,9.213737915532523,PMS
14,24.988660614649294,PMS
17,214.0625769933287,PMS
19,135.18253319992635,PMS
0,6.182937498711289,PnBA
6,5.723142107410215,PnBA
14,5.4562453653885745,PnBA
17,5.396576370171703,PnBA
19,5.372037726104948,PnBA
