Exposure Time (h),Saturation Magnetization (A/m)
3.5966692659561583,3.57541871643462,carbon nanofibers/Poly-trifluoroethylene
4.368745146223702,4.666446131325903,carbon nanofibers/Poly-trifluoroethylene
6.506805319249025,5.256759011009698,carbon nanofibers/Poly-trifluoroethylene
8.928862994133553,5.273964141416279,carbon nanofibers/Poly-trifluoroethylene
8.931953251061584,4.093687004672255,carbon nanofibers/Poly-trifluoroethylene
12.79086000532798,7.055854593717514,carbon nanofibers/Poly-trifluoroethylene
3.5966692659561583,3.818842065809255,barium titanate/Poly-trifluoroethylene
4.368745146223702,3.7594077433910047,barium titanate/Poly-trifluoroethylene
6.506805319249025,3.560814811514785,barium titanate/Poly-trifluoroethylene
8.928862994133553,3.493538580098326,barium titanate/Poly-trifluoroethylene
8.931953251061584,3.4951975834506537,barium titanate/Poly-trifluoroethylene
12.79086000532798,3.4464902049978803,barium titanate/Poly-trifluoroethylene
3.5966692659561583,-3.865634847958023,"Iron (II,III) Oxide/Poly-trifluoroethylene"
4.368745146223702,-3.8242487938864036,"Iron (II,III) Oxide/Poly-trifluoroethylene"
6.506805319249025,-3.9940291123974045,"Iron (II,III) Oxide/Poly-trifluoroethylene"
8.928862994133553,-4.057154466957561,"Iron (II,III) Oxide/Poly-trifluoroethylene"
8.931953251061584,-4.057947237333637,"Iron (II,III) Oxide/Poly-trifluoroethylene"
12.79086000532798,-4.103191109670224,"Iron (II,III) Oxide/Poly-trifluoroethylene"
3.5966692659561583,0.8139386263385266,Silver/Poly-trifluoroethylene
4.368745146223702,-0.8725158520361771,Silver/Poly-trifluoroethylene
6.506805319249025,4.132305079355904,Silver/Poly-trifluoroethylene
8.928862994133553,0.10304556798167397,Silver/Poly-trifluoroethylene
8.931953251061584,19.738647323689023,Silver/Poly-trifluoroethylene
12.79086000532798,88.4033509703575,Silver/Poly-trifluoroethylene
