Time (s),Surface Area (m²/g)
7,3.9167037059540437,0.49% Calcium carbonate
8,4.262003360872362,0.49% Calcium carbonate
10,5.043768937905092,0.49% Calcium carbonate
11,4.697011185336066,0.49% Calcium carbonate
0,-4.299581972528604,0.97% Calcium carbonate
5,-4.74394787883456,0.97% Calcium carbonate
8,-4.879825086708246,0.97% Calcium carbonate
17,-4.970596266029682,0.97% Calcium carbonate
0,-1.4165363954415264,0.36% Calcium carbonate
3,-2.00083046250021,0.36% Calcium carbonate
12,-2.3495526689133057,0.36% Calcium carbonate
15,-2.417614958690909,0.36% Calcium carbonate
