Ultrasound Power (W),Particle Size (nm)
1,-4.4266421687823465,0.61% Cloisite
12,-5.082688450850171,0.61% Cloisite
13,-5.088677800549522,0.61% Cloisite
15,-5.0961948416268354,0.61% Cloisite
16,-5.100072551810196,0.61% Cloisite
1,3.9962606927797033,0.17% Cloisite
12,50.406016487841065,0.17% Cloisite
13,55.033310165189675,0.17% Cloisite
15,132.82367998595433,0.17% Cloisite
16,199.97917414906024,0.17% Cloisite
1,5.949457379407992,0.39% Cloisite
12,33.80908492933213,0.39% Cloisite
13,110.92060348278042,0.39% Cloisite
15,147.25714456852947,0.39% Cloisite
16,96.2022382473696,0.39% Cloisite
1,1.9088563576393383,0.44% Cloisite
12,1.4049490245611718,0.44% Cloisite
13,1.3857502983297194,0.44% Cloisite
15,1.3700571793260985,0.44% Cloisite
16,1.3380365607725238,0.44% Cloisite
1,5.399536426455405,0.14% Cloisite
12,9.660127754022785,0.14% Cloisite
13,7.56260086229498,0.14% Cloisite
15,2.051082089341679,0.14% Cloisite
16,8.19549216147784,0.14% Cloisite
