Holding Time (min),Electronic Conductivity (S/m)
4,8.644669816997911,
7,10.200184884967271,
10,11.635944553330827,
15,9.7983869956511,
19,11.99926362740823,
4,-4.486408492810233,
7,-4.442929632442212,
10,-4.626339082817066,
15,-4.752956700331638,
19,-4.820613100649807,
4,-1.2428470830795513,
7,-0.2747752060067983,
10,1.6695568190893129,
15,0.4994980091564356,
19,12.854508798238824,
4,4.881538756718355,
7,4.663121143954063,
10,4.612459667036946,
15,4.572024435848781,
19,4.5647316465044,
4,-7.485706614423006,
7,-7.716672154884696,
10,-7.786492281759799,
15,-7.815005883132074,
19,-7.823087143895489,
