Pore Volume (cm³/g),Compressive Modulus (GPa)
5,-6.115504679609352,Methoxy(dimethyl)octylsilane/Polylactic acid
10,-6.389649216916433,Methoxy(dimethyl)octylsilane/Polylactic acid
13,-6.476887183196142,Methoxy(dimethyl)octylsilane/Polylactic acid
15,-6.5356352428393185,Methoxy(dimethyl)octylsilane/Polylactic acid
17,-6.576475381816177,Methoxy(dimethyl)octylsilane/Polylactic acid
5,3.2127077792673395,Acetylene black/Polylactic acid
10,2.875573710802859,Acetylene black/Polylactic acid
13,2.7657810840583896,Acetylene black/Polylactic acid
15,2.7088442665135215,Acetylene black/Polylactic acid
17,2.6710290540335424,Acetylene black/Polylactic acid
