Softening Temperature (°C),Reduction Potential (V)
4,0.7945122549920374,0.94% Ba0.7Sr0.3TiO3/PANa
10,8.718299209280469,0.94% Ba0.7Sr0.3TiO3/PANa
13,56.38402681354614,0.94% Ba0.7Sr0.3TiO3/PANa
15,106.66169094510491,0.94% Ba0.7Sr0.3TiO3/PANa
18,457.43374174243365,0.94% Ba0.7Sr0.3TiO3/PANa
4,6.637021919521919,0.79% Ba0.7Sr0.3TiO3/PANa
10,6.54574260365094,0.79% Ba0.7Sr0.3TiO3/PANa
13,6.4238803460987235,0.79% Ba0.7Sr0.3TiO3/PANa
15,6.384027797246081,0.79% Ba0.7Sr0.3TiO3/PANa
18,6.310521301199916,0.79% Ba0.7Sr0.3TiO3/PANa
