Thickness (µm),Oxidation Potential (V)
5,0.6316428582635571,Poly(vinyl butyral)
8,0.4859806484352805,Poly(vinyl butyral)
9,0.46051823176509654,Poly(vinyl butyral)
10,0.4443468922112798,Poly(vinyl butyral)
16,0.40171943661180715,Poly(vinyl butyral)
5,-3.939726691040743,PBI
8,-4.064733544987695,PBI
9,-4.09430988655689,PBI
10,-4.109071226429437,PBI
16,-4.145167754670128,PBI
5,2.0054080373336323,PA 6T
8,9.196849665825448,PA 6T
9,12.012905483345284,PA 6T
10,10.08977055777898,PA 6T
16,276.89525207241996,PA 6T
5,-4.396731955275618,Poly(ethylene glycol)
8,-4.516730223452222,Poly(ethylene glycol)
9,-4.553037471149036,Poly(ethylene glycol)
10,-4.571215315099706,Poly(ethylene glycol)
16,-4.608526320440568,Poly(ethylene glycol)
