Evaporation Temperature (°C),Tan Delta
0.9724195134386049,5.732789717037323,0.61% 9-Anthracenemethanol/Poly(vinyl chloride)
10.225466280648497,4.973550899172912,0.61% 9-Anthracenemethanol/Poly(vinyl chloride)
10.229231432780598,5.016381725445624,0.61% 9-Anthracenemethanol/Poly(vinyl chloride)
12.893293565219622,4.922366225574917,0.61% 9-Anthracenemethanol/Poly(vinyl chloride)
14.26224322872313,4.890395223747641,0.61% 9-Anthracenemethanol/Poly(vinyl chloride)
3,-3.246343850712042,0.56% 9-Anthracenemethanol/Poly(vinyl chloride)
5,-3.0296484361476135,0.56% 9-Anthracenemethanol/Poly(vinyl chloride)
6,-2.120703048855068,0.56% 9-Anthracenemethanol/Poly(vinyl chloride)
12,-2.469450991264173,0.56% 9-Anthracenemethanol/Poly(vinyl chloride)
18,4.3994203451566865,0.56% 9-Anthracenemethanol/Poly(vinyl chloride)
6,13.319274089786697,0.12% 9-Anthracenemethanol/Poly(vinyl chloride)
9,16.083329869024787,0.12% 9-Anthracenemethanol/Poly(vinyl chloride)
10,22.497498345331664,0.12% 9-Anthracenemethanol/Poly(vinyl chloride)
11,50.315278934408234,0.12% 9-Anthracenemethanol/Poly(vinyl chloride)
16,237.3695876958782,0.12% 9-Anthracenemethanol/Poly(vinyl chloride)
9.46980353206116,39.315609832229356,0.26% 9-Anthracenemethanol/Poly(vinyl chloride)
10.032556512648714,21.12834967307878,0.26% 9-Anthracenemethanol/Poly(vinyl chloride)
10.243490111509574,37.222930709520185,0.26% 9-Anthracenemethanol/Poly(vinyl chloride)
18.29528716404499,-187.7384668498914,0.26% 9-Anthracenemethanol/Poly(vinyl chloride)
18.300309811522446,328.6052652024664,0.26% 9-Anthracenemethanol/Poly(vinyl chloride)
0.5350580540511074,-4.336382059042883,0.03% 9-Anthracenemethanol/Poly(vinyl chloride)
3.6393924050736026,-4.4649462763429995,0.03% 9-Anthracenemethanol/Poly(vinyl chloride)
12.09161084778308,-4.80562902943659,0.03% 9-Anthracenemethanol/Poly(vinyl chloride)
14.432878706938645,-4.818362510289313,0.03% 9-Anthracenemethanol/Poly(vinyl chloride)
15.02010748280749,-4.820041268602029,0.03% 9-Anthracenemethanol/Poly(vinyl chloride)
