Thermal Conductivity (W/(m·K)),Passivation Current Density (A/m²)
5.25902922532528,-2.044159921561669,Cyclic olefin copolymer
6.916504074368211,-2.1426353035129764,Cyclic olefin copolymer
11.649165191295264,-2.240312335232397,Cyclic olefin copolymer
12.286281536923134,-2.2426445022648394,Cyclic olefin copolymer
17.56736192279183,-2.2645623272707396,Cyclic olefin copolymer
5.25902922532528,-2.5593487370618657,PBTP
6.916504074368211,-2.306739543427745,PBTP
11.649165191295264,-2.6894990454330436,PBTP
12.286281536923134,-0.20412764423292362,PBTP
17.56736192279183,-1.2239023932194932,PBTP
5.25902922532528,4.257588955614322,PMA
6.916504074368211,4.078244323956951,PMA
11.649165191295264,4.691392734049481,PMA
12.286281536923134,8.916243541383569,PMA
17.56736192279183,14.71787903862903,PMA
