Specific Surface Area (m²/g),Electrical Conductivity (S/m)
6,10.493219391938023,graphite (as received)/P(VDF-TrFE)
7,8.031249156496473,graphite (as received)/P(VDF-TrFE)
12,12.94061090023463,graphite (as received)/P(VDF-TrFE)
14,15.841189620937888,graphite (as received)/P(VDF-TrFE)
18,15.548729564536082,graphite (as received)/P(VDF-TrFE)
3,5.2431001391051355,MMT/P(VDF-TrFE)
4,5.098792385940151,MMT/P(VDF-TrFE)
9,4.916110752956675,MMT/P(VDF-TrFE)
10,4.888812440666482,MMT/P(VDF-TrFE)
18,4.845602629818996,MMT/P(VDF-TrFE)
1.4252655880669551,-0.44797562786821965,expanded graphite/P(VDF-TrFE)
9.880126654144192,28.79157883852051,expanded graphite/P(VDF-TrFE)
10.723802130025712,10.754318339052581,expanded graphite/P(VDF-TrFE)
13.705269810238248,51.088640998094974,expanded graphite/P(VDF-TrFE)
16.354007660136997,298.46704743698285,expanded graphite/P(VDF-TrFE)
1,0.8615507409457057,MWNTs/P(VDF-TrFE)
3,1.6348680274448988,MWNTs/P(VDF-TrFE)
7,6.223771153870938,MWNTs/P(VDF-TrFE)
13,31.77947363241568,MWNTs/P(VDF-TrFE)
16,-6.0836611764942266,MWNTs/P(VDF-TrFE)
