Crosslinking Density (mol/m³),Tg (°C)
13,-4.548047854151466,Copper(II) phenyl phosphate/PETE
15,-4.558453983424583,Copper(II) phenyl phosphate/PETE
16,-4.561407032273877,Copper(II) phenyl phosphate/PETE
13,1.8359168293983248,CCTO ceramics/PETE
15,1.826504034226235,CCTO ceramics/PETE
16,1.8225991071637935,CCTO ceramics/PETE
13,16.615343517793207,graphite nanoplatelets/PETE
15,-28.301625893036395,graphite nanoplatelets/PETE
16,15.38471218835061,graphite nanoplatelets/PETE
13,-4.662101241992419,sodium montmorillonite/PETE
15,-4.671670168352125,sodium montmorillonite/PETE
16,-4.673828769913102,sodium montmorillonite/PETE
13,9.847621720540923,montmorillonite K-10/PETE
15,6.307985474096281,montmorillonite K-10/PETE
16,13.969472844126877,montmorillonite K-10/PETE
