Time (s),Glass Transition Temperature (°C)
1,-3.3752358224691354,silica gel/PMMA-PtBA
5,-2.8348134488929606,silica gel/PMMA-PtBA
12,1.5049413515069308,silica gel/PMMA-PtBA
16,-3.4471585180531505,silica gel/PMMA-PtBA
17,-4.938199270776498,silica gel/PMMA-PtBA
18,0.9309830760452602,silica gel/PMMA-PtBA
1,6.589157260052874,graphite nanoplatelets/PMMA-PtBA
5,5.85579351510033,graphite nanoplatelets/PMMA-PtBA
12,5.666930657048264,graphite nanoplatelets/PMMA-PtBA
16,5.645579435084289,graphite nanoplatelets/PMMA-PtBA
17,5.643952759033886,graphite nanoplatelets/PMMA-PtBA
18,5.642675250966958,graphite nanoplatelets/PMMA-PtBA
1,9.111593311521442,Triphenyl phosphate/PMMA-PtBA
5,8.472613652453933,Triphenyl phosphate/PMMA-PtBA
12,8.287657509559068,Triphenyl phosphate/PMMA-PtBA
16,8.19875729993097,Triphenyl phosphate/PMMA-PtBA
17,8.169052005283659,Triphenyl phosphate/PMMA-PtBA
18,8.15633698333839,Triphenyl phosphate/PMMA-PtBA
