Drying Time (h),Electrical Conductivity (S/m)
3.291012148793384,-5.973974087929395,0.83% alumina/PAI
4.4832956416450465,-6.151017339735324,0.83% alumina/PAI
6.072779022103094,-6.087366108155853,0.83% alumina/PAI
7.793726560247629,-6.203807833391995,0.83% alumina/PAI
9.827049655723727,-6.353200686942328,0.83% alumina/PAI
3.291012148793384,-1.659404743163342,0.26% alumina/PAI
4.4832956416450465,-1.1461242685478399,0.26% alumina/PAI
6.072779022103094,-1.395883465466489,0.26% alumina/PAI
7.793726560247629,-0.2832457474270127,0.26% alumina/PAI
9.827049655723727,1.8211516956759803,0.26% alumina/PAI
3.291012148793384,-1.1157172099905055,0.69% alumina/PAI
4.4832956416450465,-1.2337902661572662,0.69% alumina/PAI
6.072779022103094,-1.3304774562615482,0.69% alumina/PAI
7.793726560247629,-1.4034023490349332,0.69% alumina/PAI
9.827049655723727,-1.4540255312709365,0.69% alumina/PAI
3.291012148793384,4.053851579346282,0.47% alumina/PAI
4.4832956416450465,3.9883399757823463,0.47% alumina/PAI
6.072779022103094,3.8632385375750307,0.47% alumina/PAI
7.793726560247629,3.7917913056067913,0.47% alumina/PAI
9.827049655723727,3.732478240893815,0.47% alumina/PAI
