Polymer Molecular Weight (g/mol),Intrinsic Viscosity (dl/g)
3.458465605970804,-2.2706770901177507,0.75% Fe2O3
4.164429116663597,-2.3955936677096648,0.75% Fe2O3
7.223806040155971,-2.545613079537139,0.75% Fe2O3
15.795426795404193,-2.651342675731823,0.75% Fe2O3
3.458465605970804,2.125557205019171,0.23% Fe2O3
4.164429116663597,3.8870061204444557,0.23% Fe2O3
7.223806040155971,12.199632367519913,0.23% Fe2O3
15.795426795404193,258.0311254002152,0.23% Fe2O3
3.458465605970804,4.705986230149469,0.62% Fe2O3
4.164429116663597,6.676176024126519,0.62% Fe2O3
7.223806040155971,16.57312777142003,0.62% Fe2O3
15.795426795404193,130.94869753506444,0.62% Fe2O3
3.458465605970804,0.0481042289727589,0.22% Fe2O3
4.164429116663597,0.005406887730938004,0.22% Fe2O3
7.223806040155971,-0.17364316933745827,0.22% Fe2O3
15.795426795404193,-0.2617093734548747,0.22% Fe2O3
