Pressure (Pa),Electrical Conductivity (S/m)
0,-2.0482480837688253,0.24% Aluminium/PEKK
3,-2.4022602626445346,0.24% Aluminium/PEKK
7,-2.7186953262853217,0.24% Aluminium/PEKK
11,-2.7946956986511884,0.24% Aluminium/PEKK
13,-2.811052034307506,0.24% Aluminium/PEKK
0,-2.5894625284584567,0.67% Aluminium/PEKK
3,-0.6998816805499155,0.67% Aluminium/PEKK
7,3.2781634851342405,0.67% Aluminium/PEKK
11,-17.797734232038238,0.67% Aluminium/PEKK
13,24.57676237730675,0.67% Aluminium/PEKK
0,2.8350393926730226,0.15% Aluminium/PEKK
3,2.915816581873771,0.15% Aluminium/PEKK
7,11.273648236271686,0.15% Aluminium/PEKK
11,34.81060047476656,0.15% Aluminium/PEKK
13,78.91757037897017,0.15% Aluminium/PEKK
0,-3.9905824336494087,0.55% Aluminium/PEKK
3,-4.527061040024017,0.55% Aluminium/PEKK
7,-4.797104723642464,0.55% Aluminium/PEKK
11,-4.882940069139983,0.55% Aluminium/PEKK
13,-4.8954348849780684,0.55% Aluminium/PEKK
