Specific Surface Area (m²/g),Thermal Conductivity (W/(m·K))
2,3.0709465377700913,PA 66
3,2.8159601416752804,PA 66
4,2.631604785889283,PA 66
11,2.4534053283682637,PA 66
16,2.3340032047969346,PA 66
2,-2.3927139301571656,Poly(ethylene glycol)
3,-2.3402676549665475,Poly(ethylene glycol)
4,-2.5369882508771755,Poly(ethylene glycol)
11,-2.7928421774695993,Poly(ethylene glycol)
16,-2.8216301983845895,Poly(ethylene glycol)
2,-4.378496398412954,PEEK
3,-4.61391085321987,PEEK
4,-4.943185940779621,PEEK
11,-4.9794503133414265,PEEK
16,-5.13559292641699,PEEK
2,8.167942275289999,PETP
3,7.6357079734581275,PETP
4,8.293381494141984,PETP
11,11.736523359205641,PETP
16,1.4231157054419885,PETP
