EV (V),Porosity (%)
0,2.7714622023021978,PETE
10,32.23450208210601,PETE
14,93.20631068019449,PETE
16,113.24668299865155,PETE
0,6.970094127269185,Polyurethane
10,10.649026706539914,Polyurethane
14,6.60571518446117,Polyurethane
16,12.178194226968014,Polyurethane
0,7.021866705359354,Polyrotaxane
10,8.498144628901468,Polyrotaxane
14,9.428045438864132,Polyrotaxane
16,3.207567867125552,Polyrotaxane
0,4.221865999471158,EPDM
10,5.2835413696227596,EPDM
14,6.678888902898424,EPDM
16,9.978006805500602,EPDM
0,8.901446616629064,PS
10,9.35520781667802,PS
14,8.367859999189466,PS
16,20.60394037244338,PS
