Polymer Molecular Weight (g/mol),Tensile Modulus (GPa)
3,-0.16248935071379733,octyldimethylmethoxysilane/P(Baph)
4,-0.28600160869615276,octyldimethylmethoxysilane/P(Baph)
5,-0.20037096321037984,octyldimethylmethoxysilane/P(Baph)
11,-0.45449661104862865,octyldimethylmethoxysilane/P(Baph)
14,-0.568408578529191,octyldimethylmethoxysilane/P(Baph)
3,-1.4000316616058548,silver/P(Baph)
4,-1.3727421473359156,silver/P(Baph)
5,-1.036642957619252,silver/P(Baph)
11,-0.6082291944168592,silver/P(Baph)
14,4.222557788665537,silver/P(Baph)
