Incubation Time (h),Loss Modulus (Pa)
1,5.317516071266974,Poly(vinyl chloride)
5,5.641903425561501,Poly(vinyl chloride)
14,3.1457084858192212,Poly(vinyl chloride)
17,17.33730533905338,Poly(vinyl chloride)
18,19.307464971797025,Poly(vinyl chloride)
19,11.428132634794895,Poly(vinyl chloride)
1,-2.5800138531612,Poly(acrylic acid)
5,-0.02647106360521967,Poly(acrylic acid)
14,147.48572882896227,Poly(acrylic acid)
17,375.6262589013571,Poly(acrylic acid)
18,212.2902219265216,Poly(acrylic acid)
19,230.63644916555225,Poly(acrylic acid)
1,5.887053763369895,PAN
5,5.594012414729923,PAN
14,5.320395498492628,PAN
17,5.25578106247009,PAN
18,5.236014785503949,PAN
19,5.221659123454863,PAN
1,5.797448524908768,TGPAP
5,12.13849799053236,TGPAP
14,-16.256892922132785,TGPAP
17,26.41741699241242,TGPAP
18,224.13782942369298,TGPAP
19,456.9808202369057,TGPAP
