Polymer Molecular Weight (g/mol),Galvanic Potential (V)
2,7.293709117456486,0.28% fumed silica/Polybutadiene
5,7.006515041136872,0.28% fumed silica/Polybutadiene
8,6.830702955610064,0.28% fumed silica/Polybutadiene
12,6.774279603939142,0.28% fumed silica/Polybutadiene
17,6.752466811092234,0.28% fumed silica/Polybutadiene
7,5.3075315928207125,0.44% fumed silica/Polybutadiene
9,0.7306704750928565,0.44% fumed silica/Polybutadiene
10,17.649188806200694,0.44% fumed silica/Polybutadiene
11,35.57375316747047,0.44% fumed silica/Polybutadiene
19,830.8553058228475,0.44% fumed silica/Polybutadiene
0.513589027049477,-3.061414952590192,0.31% fumed silica/Polybutadiene
10.845288090545713,-3.57494544199293,0.31% fumed silica/Polybutadiene
15.893271656056207,-3.72553976078222,0.31% fumed silica/Polybutadiene
16.093127981872392,-3.716367591767043,0.31% fumed silica/Polybutadiene
17.355244125453375,-3.748010875722749,0.31% fumed silica/Polybutadiene
0.6369632697704408,-3.5336286807148825,0.35% fumed silica/Polybutadiene
2.9507282909556665,-4.266883192347414,0.35% fumed silica/Polybutadiene
8.933164904369173,-4.556379519449634,0.35% fumed silica/Polybutadiene
9.853097525442859,-4.586564998896122,0.35% fumed silica/Polybutadiene
15.054939567617101,-4.621424974209024,0.35% fumed silica/Polybutadiene
3,8.238513743112035,0.61% fumed silica/Polybutadiene
6,14.883093908313155,0.61% fumed silica/Polybutadiene
7,22.08725409861426,0.61% fumed silica/Polybutadiene
11,42.539487255788956,0.61% fumed silica/Polybutadiene
19,313.9401987433988,0.61% fumed silica/Polybutadiene
