Electron Beam Dose (Gy),Saturation Magnetization (A/m)
1.5470253123338518,-2.6059042941167796,0.56% Silicon carbide
5.290667778184215,-2.8348487966889646,0.56% Silicon carbide
5.865276802887143,-2.441494971140536,0.56% Silicon carbide
7.6921025199276745,-0.6219733725995025,0.56% Silicon carbide
17.678671926544677,12.54799427224171,0.56% Silicon carbide
1.5470253123338518,4.480809651987623,0.53% Silicon carbide
5.290667778184215,4.623109377391886,0.53% Silicon carbide
5.865276802887143,5.800434295940321,0.53% Silicon carbide
7.6921025199276745,4.858802629453773,0.53% Silicon carbide
17.678671926544677,6.894967760595539,0.53% Silicon carbide
1.5470253123338518,3.8601879517983444,0.72% Silicon carbide
5.290667778184215,4.768961412086039,0.72% Silicon carbide
5.865276802887143,3.8812546646457635,0.72% Silicon carbide
7.6921025199276745,4.078544100192962,0.72% Silicon carbide
17.678671926544677,7.134808203142217,0.72% Silicon carbide
1.5470253123338518,-4.043399854228988,0.59% Silicon carbide
5.290667778184215,-4.2011050147903735,0.59% Silicon carbide
5.865276802887143,-3.762916227046286,0.59% Silicon carbide
7.6921025199276745,-3.502207100591432,0.59% Silicon carbide
17.678671926544677,-3.8006516454469814,0.59% Silicon carbide
1.5470253123338518,9.456019885741473,0.81% Silicon carbide
5.290667778184215,9.80403428475305,0.81% Silicon carbide
5.865276802887143,14.672518123710603,0.81% Silicon carbide
7.6921025199276745,15.836629161442689,0.81% Silicon carbide
17.678671926544677,170.58676920604393,0.81% Silicon carbide
