Frequency (Hz),Flexural Strength (MPa)
2,-6.250969952837937,0.96% polyaniline
12,-6.805390849931283,0.96% polyaniline
18,-6.826896523203782,0.96% polyaniline
19,-6.828249040845823,0.96% polyaniline
2,2.6999115360099797,0.66% polyaniline
12,5.409122066574933,0.66% polyaniline
18,2.624091782815823,0.66% polyaniline
19,22.208767397465873,0.66% polyaniline
2,2.6557479554970964,0.09% polyaniline
12,1.8549686166820627,0.09% polyaniline
18,1.7142566284414464,0.09% polyaniline
19,1.6947560459235391,0.09% polyaniline
2,1.463658993350526,0.26% polyaniline
12,47.10689304239426,0.26% polyaniline
18,-64.90288873999837,0.26% polyaniline
19,-345.62160934353193,0.26% polyaniline
