Gamma Radiation Dose (Gy),Thermal Conductivity (W/(m·K))
2,1.536489635917068,0.01% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
3,1.2589771734401125,0.01% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
11,53.73818938957476,0.01% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
13,7.258063482719788,0.01% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
15,138.09796233456728,0.01% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
2,3.3110090999059993,0.28% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
3,3.66107252671636,0.28% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
11,3.0889086582579868,0.28% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
13,3.083373503597596,0.28% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
15,3.0232708530126073,0.28% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
2,5.201519295452188,0.98% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
3,4.953912510632398,0.98% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
11,4.73320460358446,0.98% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
13,4.717915477177551,0.98% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
15,4.7073385693775425,0.98% Magnesium oxide/Poly(2-hydroxyethyl acrylate)
