Shear Rate (1/s),Saturation Magnetization (A/m)
16.145613061398883,18.226183027064717,poly-HEMA
17.90322690071964,14.563187364772205,poly-HEMA
19.286574594553123,3.2511408978710454,poly-HEMA
16.145613061398883,2.66702338356306,PVAL
17.90322690071964,10.585649380656028,PVAL
19.286574594553123,9.548226214481069,PVAL
16.145613061398883,10.020250290647706,Fluoroelastomer
17.90322690071964,3.3924477183290938,Fluoroelastomer
19.286574594553123,19.69900241222019,Fluoroelastomer
16.145613061398883,-7.148981318277084,Polyurethane
17.90322690071964,518.8688499950866,Polyurethane
19.286574594553123,107.99114564760377,Polyurethane
16.145613061398883,-1.0152187243472346,PA 8
17.90322690071964,2.547404137263552,PA 8
19.286574594553123,13.226693792607668,PA 8
