Drying Temperature (°C),Glass Transition Temperature (°C)
3,3.2123179512254745,
4,3.818688579371053,
9,5.399086616034279,
12,4.312844202823992,
14,3.726570255690155,
3,5.577074510992899,
4,5.4345100536979025,
9,5.336695176440451,
12,5.221539533954653,
14,5.186267299262375,
3,-4.692556720203413,
4,-4.809998723674508,
9,-5.049172868632205,
12,-5.08383270659989,
14,-5.098941009826512,
3,8.705508879467342,
4,8.799463960853496,
9,10.352238413811024,
12,8.867199869011543,
14,5.022788350317013,
