Particle Diameter (nm),Coefficient Of Thermal Expansion (1/K)
0.4707360887228029,5.879962685217162,0.09% ZrO2
3.4996931038351398,5.288866547294441,0.09% ZrO2
6.680108889976724,5.061924119558018,0.09% ZrO2
18.63422504522209,4.922005625300644,0.09% ZrO2
0.4707360887228029,1.8176143455489904,0.1% ZrO2
3.4996931038351398,1.494757545308715,0.1% ZrO2
6.680108889976724,1.229580432992327,0.1% ZrO2
18.63422504522209,1.095056412770585,0.1% ZrO2
0.4707360887228029,7.17145643765785,0.8% ZrO2
3.4996931038351398,6.690379025632822,0.8% ZrO2
6.680108889976724,6.743322318541777,0.8% ZrO2
18.63422504522209,6.356765382661919,0.8% ZrO2
0.4707360887228029,-2.2107171141718265,0.56% ZrO2
3.4996931038351398,-2.618257182863587,0.56% ZrO2
6.680108889976724,-2.7653748089508228,0.56% ZrO2
18.63422504522209,-2.915093650539664,0.56% ZrO2
