Synthesis Time (min),Bulk Modulus (GPa)
13.720634928214004,-4.3114176254628624,PBS
14.450013189802808,137.75102017901696,PBS
17.85286545877955,210.19019168113738,PBS
13.720634928214004,-2.425617637522629,PTFCE
14.450013189802808,-2.4215730348805353,PTFCE
17.85286545877955,-2.504648997175146,PTFCE
13.720634928214004,-2.0355892610462836,PαMS
14.450013189802808,-2.193135613598062,PαMS
17.85286545877955,-1.4593490978913524,PαMS
13.720634928214004,5.182271798105235,Polyurethane
14.450013189802808,5.157121067052242,Polyurethane
17.85286545877955,5.086290198813164,Polyurethane
13.720634928214004,5.332715651786521,Poly(alpha-methylstyrene)
14.450013189802808,2.0309156039838943,Poly(alpha-methylstyrene)
17.85286545877955,6.62370217500858,Poly(alpha-methylstyrene)
