Thermal Diffusivity (mm²/s),Electronic Conductivity (S/m)
0,0.6668591229333369,0.34% Graphite Nanoplatelets/PEVA
4,-0.3646243044935516,0.34% Graphite Nanoplatelets/PEVA
5,-0.42760389852454755,0.34% Graphite Nanoplatelets/PEVA
9,-0.607854355271007,0.34% Graphite Nanoplatelets/PEVA
15,-0.6665734201135088,0.34% Graphite Nanoplatelets/PEVA
17,-0.6714994512892564,0.34% Graphite Nanoplatelets/PEVA
0,1.5590123754337757,0.59% Graphite Nanoplatelets/PEVA
4,1.2268762489994316,0.59% Graphite Nanoplatelets/PEVA
5,1.0533461115523317,0.59% Graphite Nanoplatelets/PEVA
9,0.9591836586806477,0.59% Graphite Nanoplatelets/PEVA
15,0.7994274485239488,0.59% Graphite Nanoplatelets/PEVA
17,0.750877265531902,0.59% Graphite Nanoplatelets/PEVA
0,-4.27487889124886,0.3% Graphite Nanoplatelets/PEVA
4,-4.653794880129107,0.3% Graphite Nanoplatelets/PEVA
5,-3.5718989500199116,0.3% Graphite Nanoplatelets/PEVA
9,-4.6084407287555855,0.3% Graphite Nanoplatelets/PEVA
15,2.7465497062289845,0.3% Graphite Nanoplatelets/PEVA
17,-3.800225930161708,0.3% Graphite Nanoplatelets/PEVA
0,-0.10933089293758358,0.91% Graphite Nanoplatelets/PEVA
4,-0.7148261985421465,0.91% Graphite Nanoplatelets/PEVA
5,-0.805963434655869,0.91% Graphite Nanoplatelets/PEVA
9,-0.9807035814610521,0.91% Graphite Nanoplatelets/PEVA
15,-1.0347257430265422,0.91% Graphite Nanoplatelets/PEVA
17,-1.0384953897175133,0.91% Graphite Nanoplatelets/PEVA
0,-1.718803338719019,0.64% Graphite Nanoplatelets/PEVA
4,2.2846975646782166,0.64% Graphite Nanoplatelets/PEVA
5,1.2522664935150267,0.64% Graphite Nanoplatelets/PEVA
9,17.55370632023256,0.64% Graphite Nanoplatelets/PEVA
15,6.192486430653723,0.64% Graphite Nanoplatelets/PEVA
17,-88.20159771384371,0.64% Graphite Nanoplatelets/PEVA
