Calcination Time (h),Flexural Strength (MPa)
7,-3.176433818326574,Cellulose/Nylon 12
14,-3.4533145403969003,Cellulose/Nylon 12
15,-3.4458419054927845,Cellulose/Nylon 12
17,-3.5020029630850016,Cellulose/Nylon 12
7,11.59744511910336,HAF/Nylon 12
14,107.47968861914407,HAF/Nylon 12
15,52.76381107632667,HAF/Nylon 12
17,-53.56370774252827,HAF/Nylon 12
7,9.284269384866704,Graphite/Nylon 12
14,61.183867565635,Graphite/Nylon 12
15,49.910407057142166,Graphite/Nylon 12
17,412.62882288284055,Graphite/Nylon 12
7,15.939021568874098,AuNPs/Nylon 12
14,34.59038063735298,AuNPs/Nylon 12
15,340.39848403526275,AuNPs/Nylon 12
17,-152.01942656626352,AuNPs/Nylon 12
