Aging Time (h),Thermal Stability (°C)
5,3.4470893294651948,EVA
15,3.2254074550100595,EVA
16,3.2220810362810828,EVA
5,7.415608847035243,PAA
15,10.649519856817776,PAA
16,24.47512285310038,PAA
5,4.669244402587124,Poly(styrene-co-acrylonitrile)
15,101.02818595147424,Poly(styrene-co-acrylonitrile)
16,-19.430882996730595,Poly(styrene-co-acrylonitrile)
5,-3.230869734575259,PAI
15,-1.013114411805733,PAI
16,0.13893920283777916,PAI
5,2.0721925103867394,PLA
15,1.8469926257484117,PLA
16,1.844195954815441,PLA
