Mixing Time (min),Tg (°C)
1.191528003730089,-0.3128416708016688,graphite nanoplatelets/sPP
8.517381681909841,-1.0631190646251085,graphite nanoplatelets/sPP
10.690549904436033,-1.1081663995614308,graphite nanoplatelets/sPP
13.462204532737339,-1.1279494890179445,graphite nanoplatelets/sPP
14.619850019000168,-1.133261442138719,graphite nanoplatelets/sPP
1.191528003730089,-5.256199768420405,OMLS/sPP
8.517381681909841,-6.132931484048988,OMLS/sPP
10.690549904436033,-6.175797509284874,OMLS/sPP
13.462204532737339,-6.192420910676452,OMLS/sPP
14.619850019000168,-6.196689383289374,OMLS/sPP
1.191528003730089,-4.18417179376826,talc/sPP
8.517381681909841,-4.6746268075945805,talc/sPP
10.690549904436033,-4.722921768479247,talc/sPP
13.462204532737339,-4.742026643673057,talc/sPP
14.619850019000168,-4.747762061296817,talc/sPP
1.191528003730089,1.676864930274292,MWCNTs/sPP
8.517381681909841,4.622858846557324,MWCNTs/sPP
10.690549904436033,3.8661454104349473,MWCNTs/sPP
13.462204532737339,6.8880399689364715,MWCNTs/sPP
14.619850019000168,3.246127842289562,MWCNTs/sPP
1.191528003730089,6.025788889706288,Fe2O3/sPP
8.517381681909841,6.224538316686086,Fe2O3/sPP
10.690549904436033,6.05279748518587,Fe2O3/sPP
13.462204532737339,8.525423754296067,Fe2O3/sPP
14.619850019000168,14.625932754680077,Fe2O3/sPP
