Mixing Time (min),Passivation Current Density (A/m²)
2,1.0236006898079042,0.51% graphite
7,0.686290377971712,0.51% graphite
8,0.6301889429656419,0.51% graphite
9,0.5736219852490873,0.51% graphite
17,0.36144285868219644,0.51% graphite
2,2.635177171066559,0.31% graphite
7,11.902733676791337,0.31% graphite
8,8.366403171588058,0.31% graphite
9,21.58117985327351,0.31% graphite
17,153.1813314654904,0.31% graphite
2,8.916252976980608,0.54% graphite
7,13.087038924983926,0.54% graphite
8,23.663865650307837,0.54% graphite
9,20.879439387730322,0.54% graphite
17,223.21299745098673,0.54% graphite
2,-0.6334919795204428,0.27% graphite
7,0.939800980306988,0.27% graphite
8,-0.030792609801260085,0.27% graphite
9,1.76948994665901,0.27% graphite
17,10.446729824586495,0.27% graphite
