Curing Time (min),Zero-shear Viscosity (Pa·s)
0.22497171701909124,3.689842937829747,PB-1
0.9953647232837382,4.613065237373755,PB-1
9.506478277701582,20.601278978503018,PB-1
15.821193235888016,361.39845819776247,PB-1
13,-7.947907589124335,Poly(benzoxazine)
15,-7.958280063694356,Poly(benzoxazine)
17,-7.96305919525003,Poly(benzoxazine)
19,-7.965485480349315,Poly(benzoxazine)
7,-6.460969375923674,Poly(styrene-b-butadiene)
8,-6.491212077442862,Poly(styrene-b-butadiene)
13,-6.559012411681209,Poly(styrene-b-butadiene)
14,-6.561980160347196,Poly(styrene-b-butadiene)
4,6.364476748084404,EPDM rubber
11,50.28562829827815,EPDM rubber
14,92.32835346486033,EPDM rubber
16,224.9015540503906,EPDM rubber
