Aging Temperature (°C),Electrical Resistivity (Ω·m)
5,-1.9480377952157955,Poly(methyl acrylate)
7,-2.0589265278604048,Poly(methyl acrylate)
9,-2.1009214688661095,Poly(methyl acrylate)
17,-2.332809309749813,Poly(methyl acrylate)
18,-2.3490405099276495,Poly(methyl acrylate)
5,-4.177525817916758,P(VDF-CTFE)
7,-3.757534565516074,P(VDF-CTFE)
9,-3.3037509569520447,P(VDF-CTFE)
17,4.511119582459731,P(VDF-CTFE)
18,-8.602527976791208,P(VDF-CTFE)
5,-0.6458227625632068,Thermoplastic polyurethane
7,-0.7298141273577992,Thermoplastic polyurethane
9,-0.958721753146569,Thermoplastic polyurethane
17,-1.1487470964149074,Thermoplastic polyurethane
18,-1.169103305815249,Thermoplastic polyurethane
5,-2.8757273911804164,PVDF
7,-3.088208782548462,PVDF
9,-3.054207052278988,PVDF
17,-3.309030229664931,PVDF
18,-3.3399884899007386,PVDF
