Coefficient Of Thermal Expansion (1/K),Conductivity (S/m)
3,-3.565303693199216,0.18% calcium carbonate
9,-3.899250081976365,0.18% calcium carbonate
10,-3.9163592303148,0.18% calcium carbonate
19,-3.964562155553508,0.18% calcium carbonate
3,5.272824525684058,0.92% calcium carbonate
9,5.558901668382441,0.92% calcium carbonate
10,7.99633687560187,0.92% calcium carbonate
19,7.944692965138008,0.92% calcium carbonate
3,-6.78589859203223,0.71% calcium carbonate
9,-7.1469506519892985,0.71% calcium carbonate
10,-7.164220664142306,0.71% calcium carbonate
19,-7.209071977394723,0.71% calcium carbonate
3,0.3219204026264304,0.47% calcium carbonate
9,24.7329725891395,0.47% calcium carbonate
10,10.81127280501445,0.47% calcium carbonate
19,-167.07674100541763,0.47% calcium carbonate
