Dispersing Time (min),Remanence (A/m)
3,3.772074767256673,0.99% dodecylbenzene sulfonic acid
8,6.242744922030686,0.99% dodecylbenzene sulfonic acid
12,8.650428742136498,0.99% dodecylbenzene sulfonic acid
15,8.414807355762408,0.99% dodecylbenzene sulfonic acid
3,-6.5101631341459125,0.68% dodecylbenzene sulfonic acid
8,-6.737286678251438,0.68% dodecylbenzene sulfonic acid
12,-6.9116207562970144,0.68% dodecylbenzene sulfonic acid
15,-6.999070711626778,0.68% dodecylbenzene sulfonic acid
3,7.627785958169717,0.69% dodecylbenzene sulfonic acid
8,7.284451634441028,0.69% dodecylbenzene sulfonic acid
12,7.1488809024964945,0.69% dodecylbenzene sulfonic acid
15,7.110134469941437,0.69% dodecylbenzene sulfonic acid
