Solvent Concentration (M),Adhesion Strength (MPa)
3.4687825361652713,5.745627682793257,0.81% magnesium oxide
4.184326817896951,5.8638239209182395,0.81% magnesium oxide
6.465988473562794,5.69914645218644,0.81% magnesium oxide
10.524399661963376,5.600308299302675,0.81% magnesium oxide
13.471752065028236,5.480428633604457,0.81% magnesium oxide
17.18908543318893,5.404163097973796,0.81% magnesium oxide
3.4687825361652713,9.21886734324277,0.51% magnesium oxide
4.184326817896951,9.553730852258873,0.51% magnesium oxide
6.465988473562794,11.05167653129015,0.51% magnesium oxide
10.524399661963376,11.741291277542507,0.51% magnesium oxide
13.471752065028236,65.77357628235673,0.51% magnesium oxide
17.18908543318893,-37.125672106149175,0.51% magnesium oxide
