Specific Surface Area (m²/g),Pore Size (nm)
3,1.8265578641217481, Graphite/Cellulose acetate butyrate
9,1.3732418056320856, Graphite/Cellulose acetate butyrate
15,1.3163106181716635, Graphite/Cellulose acetate butyrate
17,1.3100522364448142, Graphite/Cellulose acetate butyrate
18,1.3088487620989404, Graphite/Cellulose acetate butyrate
19,1.3080198254505218, Graphite/Cellulose acetate butyrate
0,6.628872135783257,Magnesium oxide/Cellulose acetate butyrate
1,6.614025520521517,Magnesium oxide/Cellulose acetate butyrate
3,6.713639146390455,Magnesium oxide/Cellulose acetate butyrate
8,8.468063843039088,Magnesium oxide/Cellulose acetate butyrate
10,8.9203815814475,Magnesium oxide/Cellulose acetate butyrate
16,4.033557525172048,Magnesium oxide/Cellulose acetate butyrate
