Thermal Conductivity (W/(m·K)),Zeta Potential (mV)
2,-1.905153495942731,Polyrotaxane
3,-1.9665427881314312,Polyrotaxane
5,-2.246206871996814,Polyrotaxane
9,-2.405672303017011,Polyrotaxane
14,-2.4552365524000828,Polyrotaxane
15,-2.4575738900879474,Polyrotaxane
2,-6.43322090954368,Poly(ethylene terephthalate)
3,-6.239610379002563,Poly(ethylene terephthalate)
5,-6.679004544157811,Poly(ethylene terephthalate)
9,-6.798205776517864,Poly(ethylene terephthalate)
14,-6.995856438360711,Poly(ethylene terephthalate)
15,-7.02670311824728,Poly(ethylene terephthalate)
2,-2.6969519338513486,SBR
3,-2.8684769340599314,SBR
5,-3.062247074013814,SBR
9,-3.2153411570506005,SBR
14,-3.2669309583617183,SBR
15,-3.2712867040535882,SBR
2,0.8174036242976572,PVDF
3,0.2499319578206891,PVDF
5,4.1484730065039255,PVDF
9,13.046360417358807,PVDF
14,95.93186098674494,PVDF
15,249.22572929353998,PVDF
