Volume Fraction (%),Adhesion Strength (MPa)
2.219676326220934,9.221080310014802,Poly(vinyl alcohol)
10.660786721039475,8.777899088964675,Poly(vinyl alcohol)
14.172881073064207,8.379825010869617,Poly(vinyl alcohol)
16.91486026473945,12.804578759273952,Poly(vinyl alcohol)
19.131223747406743,10.166075193491142,Poly(vinyl alcohol)
2.076941303125308,8.189172528078164,PBT
7.159850037332047,7.793799188255094,PBT
8.934310800576878,7.765390219522747,PBT
11.934654978886732,7.721931813441662,PBT
12.477496405678153,7.720056263503451,PBT
0,-0.09082753916136932,P4VP
4,-0.2769561777686166,P4VP
5,-0.3327357397418189,P4VP
6,-0.4328054206397284,P4VP
16,-0.7883453523578674,P4VP
