Mixing Time (min),Thermal Stability (°C)
3.2542926378389847,-4.999815457644162,Fe2O3/silicone
9.636747267250517,-5.238901410119417,Fe2O3/silicone
13.060048643066704,-5.3771264050512055,Fe2O3/silicone
13.967745974619199,-5.403323500926338,Fe2O3/silicone
19.295536182549515,-5.49304289843036,Fe2O3/silicone
3.2542926378389847,1.3429131141333164,Morrocan montmorillonite/silicone
9.636747267250517,1.0383693440744761,Morrocan montmorillonite/silicone
13.060048643066704,0.9304586455482289,Morrocan montmorillonite/silicone
13.967745974619199,0.8727672041208554,Morrocan montmorillonite/silicone
19.295536182549515,0.7883379257525842,Morrocan montmorillonite/silicone
