Particle Density,Ionic Conductivity (S/m)
0,-1.7144086140699053,calcium carbonate/Bisphenol E cyanate ester resin
13,-2.4702359220490964,calcium carbonate/Bisphenol E cyanate ester resin
14,-2.474285945396758,calcium carbonate/Bisphenol E cyanate ester resin
15,-2.4783107374747657,calcium carbonate/Bisphenol E cyanate ester resin
16,-2.4812102265621307,calcium carbonate/Bisphenol E cyanate ester resin
4,-1.1572052558353043,Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
9,17.385293811281095,Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
12,-17.407038596907483,Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
13,24.17467182699962,Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
15,55.77995572304089,Poly(vinyl alcohol)/Bisphenol E cyanate ester resin
