Crystallization Temperature (°C),Magnetic Susceptibility
2,7.985770343389411,0.87% Fe3O4
4,8.910680606570985,0.87% Fe3O4
6,7.243984486390075,0.87% Fe3O4
10,11.462388007612947,0.87% Fe3O4
12,17.29880145354617,0.87% Fe3O4
17,256.02990655340915,0.87% Fe3O4
7.317943535384323,-3.1037000051261288,0.17% Fe3O4
7.9716741295743905,-3.0876985885058112,0.17% Fe3O4
11.586815648222764,-3.256851968567359,0.17% Fe3O4
14.710621452393308,-3.303479678088123,0.17% Fe3O4
18.217958782307797,-3.388146233762955,0.17% Fe3O4
19.722738439336588,-3.3996261890326838,0.17% Fe3O4
