Aging Temperature (°C),Flexural Strength (MPa)
0,1.5532204836920993,0.29% BaTiO3
3,1.4786180242501863,0.29% BaTiO3
4,1.546472448214737,0.29% BaTiO3
12,7.581979221268586,0.29% BaTiO3
0,1.0285649341587326,0.95% BaTiO3
3,0.09793763817684686,0.95% BaTiO3
4,0.03987252530270452,0.95% BaTiO3
12,-0.2407860952201836,0.95% BaTiO3
0,-1.2921324783487045,0.58% BaTiO3
3,-1.5985138532259204,0.58% BaTiO3
4,-1.6725990929955485,0.58% BaTiO3
12,-2.113221120242918,0.58% BaTiO3
0,5.570690291033707,0.28% BaTiO3
3,5.523694496425616,0.28% BaTiO3
4,5.786147389949506,0.28% BaTiO3
12,10.352035542856783,0.28% BaTiO3
