Thermal Diffusivity (mm²/s),Hardness (HV)
2.338132018628092,6.741569148439227,0.13% Cu(HO3PC6H5)2
5.001754468301137,6.396641983489861,0.13% Cu(HO3PC6H5)2
10.432290053532876,6.3090572590882505,0.13% Cu(HO3PC6H5)2
11.690464545439301,6.2470885408727055,0.13% Cu(HO3PC6H5)2
16.964696517270298,6.12089504237971,0.13% Cu(HO3PC6H5)2
19.33126987428781,6.08896074714385,0.13% Cu(HO3PC6H5)2
2.338132018628092,-3.907805873859096,0.92% Cu(HO3PC6H5)2
5.001754468301137,-4.115623437955627,0.92% Cu(HO3PC6H5)2
10.432290053532876,-4.337519769916661,0.92% Cu(HO3PC6H5)2
11.690464545439301,-4.390906242459181,0.92% Cu(HO3PC6H5)2
16.964696517270298,-4.532356071298501,0.92% Cu(HO3PC6H5)2
19.33126987428781,-4.5705282323078125,0.92% Cu(HO3PC6H5)2
2.338132018628092,1.5245524793917766,0.69% Cu(HO3PC6H5)2
5.001754468301137,1.8459792287817451,0.69% Cu(HO3PC6H5)2
10.432290053532876,4.364056650861462,0.69% Cu(HO3PC6H5)2
11.690464545439301,3.414170844022432,0.69% Cu(HO3PC6H5)2
16.964696517270298,9.269442332139237,0.69% Cu(HO3PC6H5)2
19.33126987428781,13.220343576562787,0.69% Cu(HO3PC6H5)2
2.338132018628092,-5.80991959904314,0.99% Cu(HO3PC6H5)2
5.001754468301137,-6.051113096846428,0.99% Cu(HO3PC6H5)2
10.432290053532876,-6.249136388345379,0.99% Cu(HO3PC6H5)2
11.690464545439301,-6.26838408184841,0.99% Cu(HO3PC6H5)2
16.964696517270298,-6.291819698640871,0.99% Cu(HO3PC6H5)2
19.33126987428781,-6.2947531803473575,0.99% Cu(HO3PC6H5)2
