Curing Time (min),Tan Delta
0,-2.773712240606542,0.49% Zinc Oxide/Nylon 8
2,-1.0485909996704237,0.49% Zinc Oxide/Nylon 8
4,-1.1784519984952064,0.49% Zinc Oxide/Nylon 8
7,-0.22763561888393902,0.49% Zinc Oxide/Nylon 8
9,12.659296266010907,0.49% Zinc Oxide/Nylon 8
18,-281.88946163446434,0.49% Zinc Oxide/Nylon 8
0,-2.592164746577638,0.44% Zinc Oxide/Nylon 8
2,-2.7691170232527353,0.44% Zinc Oxide/Nylon 8
4,-2.652641649157243,0.44% Zinc Oxide/Nylon 8
7,-2.8264435981386056,0.44% Zinc Oxide/Nylon 8
9,-2.9693613795363296,0.44% Zinc Oxide/Nylon 8
18,-3.197890341514197,0.44% Zinc Oxide/Nylon 8
