Reaction Time (h),Corrosion Rate (mm/year)
5,-1.5572857800060502,0.19% SWNT/PVA
11,27.485641260186227,0.19% SWNT/PVA
16,349.83147615692275,0.19% SWNT/PVA
17,236.87419601048288,0.19% SWNT/PVA
18,249.8359250733958,0.19% SWNT/PVA
5,4.546415398148147,0.06% SWNT/PVA
11,2.8130430051391895,0.06% SWNT/PVA
16,6.099310621990835,0.06% SWNT/PVA
17,12.941713166738,0.06% SWNT/PVA
18,16.414217675075015,0.06% SWNT/PVA
5,6.045852190177132,0.13% SWNT/PVA
11,5.851848480951175,0.13% SWNT/PVA
16,5.827987393160267,0.13% SWNT/PVA
17,5.825607547599499,0.13% SWNT/PVA
18,5.823779278654491,0.13% SWNT/PVA
5,3.626891906940383,0.37% SWNT/PVA
11,3.4650832640333116,0.37% SWNT/PVA
16,3.4375923155553996,0.37% SWNT/PVA
17,3.4352295559554142,0.37% SWNT/PVA
18,3.433446268926764,0.37% SWNT/PVA
