Temperature (°C),Complex Modulus (Pa)
7.234288390436683,6.083229233036337,DGEBF
7.769604370097114,6.0368639895350045,DGEBF
9.350052240451387,5.997936919390405,DGEBF
11.249905581228305,5.969991773527564,DGEBF
13.033300227679801,5.959842098556014,DGEBF
15.1625695244959,5.949490421958097,DGEBF
7.234288390436683,7.020732002041063,PU
7.769604370097114,8.826507920013436,PU
9.350052240451387,9.211186241725159,PU
11.249905581228305,8.398278100188993,PU
13.033300227679801,10.42812710824892,PU
15.1625695244959,11.365517163352191,PU
7.234288390436683,-1.1487372722914921,Silicone rubber
7.769604370097114,-3.849329870588669,Silicone rubber
9.350052240451387,-0.29955397055953137,Silicone rubber
11.249905581228305,-2.146722152843785,Silicone rubber
13.033300227679801,-1.013001673316337,Silicone rubber
15.1625695244959,1.4428478226229826,Silicone rubber
7.234288390436683,-0.4697888120008784,PA 8
7.769604370097114,-0.04556161575012929,PA 8
9.350052240451387,-1.2578102735534924,PA 8
11.249905581228305,-1.6342002581676405,PA 8
13.033300227679801,2.601022013158927,PA 8
15.1625695244959,1.5224091251419596,PA 8
