Mixing Time (min),Polarization Resistance (Ω·m²)
3,-6.587568145987067,0.63% MWNT
11,-5.039147566819253,0.63% MWNT
14,-1.5225772251332543,0.63% MWNT
15,-1.5337394706180927,0.63% MWNT
17,-4.641488854643272,0.63% MWNT
3,-4.631647371954032,0.07% MWNT
11,-5.23762954638381,0.07% MWNT
14,-5.3210122334095376,0.07% MWNT
15,-5.350032432032563,0.07% MWNT
17,-5.396593255679157,0.07% MWNT
3,5.597670774492871,0.44% MWNT
11,4.563801253071776,0.44% MWNT
14,8.830950817560552,0.44% MWNT
15,11.486126971784774,0.44% MWNT
17,5.233160573223841,0.44% MWNT
3,1.3725535706191598,0.41% MWNT
11,1.0538077486214454,0.41% MWNT
14,1.0347208736545785,0.41% MWNT
15,1.0294607308825747,0.41% MWNT
17,1.0248158906411258,0.41% MWNT
3,6.54073558593527,0.98% MWNT
11,6.239643782634493,0.98% MWNT
14,6.129574408683732,0.98% MWNT
15,6.119627689462193,0.98% MWNT
17,6.061338744286026,0.98% MWNT
