Solvent Concentration (M),Complex Viscosity (Pa·s)
4.64833539516351,1.089380592921753,0.02% silver/BXZ
5.352533651643467,0.4262669351884538,0.02% silver/BXZ
12.900727887470012,5.889729934392063,0.02% silver/BXZ
13.02511610927038,5.792885729421132,0.02% silver/BXZ
17.586881167889654,5.0470573041953175,0.02% silver/BXZ
7,-7.120176866826175,0.92% silver/BXZ
8,-7.1713542859019395,0.92% silver/BXZ
10,-7.205662996833099,0.92% silver/BXZ
11,-7.214219677308976,0.92% silver/BXZ
12,-7.22429212789325,0.92% silver/BXZ
5,0.516746136131618,0.96% silver/BXZ
6,0.42316754727409234,0.96% silver/BXZ
12,0.1665714647458762,0.96% silver/BXZ
16,0.053417214079619135,0.96% silver/BXZ
17,0.030729821008011915,0.96% silver/BXZ
